"approval-date","reimbursement-id","case-id","amazon-order-id","reason","sku","fnsku","asin","product-name","condition","currency-unit","amount-per-unit","amount-total","quantity-reimbursed-cash","quantity-reimbursed-inventory","quantity-reimbursed-total","original-reimbursement-id","original-reimbursement-type"
"2025-04-18T10:22:13+00:00","6922065612",,,"Reimbursement_Reversal","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","NewItem","EUR","-20.85","-20.85","-1","1","0","6899784032","CustomerReturn"
"2025-04-17T17:23:29+00:00","6919500952",,"405-8225098-2804355","CustomerReturn","MD-R60M-OYR1","X002326XGB","B0786KK4TG","TUBOPLUS C1-O2UC-HPCJ Pressuriseur de Balles pour Tennis et Padel Adulte Unisexe, Bleu, 4 Boules","NewItem","EUR","8.87","8.87","1","0","1",,
"2025-04-17T15:17:13+00:00","6919466522",,"406-3521507-2873165","CustomerReturn","IB-IKLG-TV8H","X000GERVU5","B0183RZ2VI","TuboPlus- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","NewItem","EUR","7.92","7.92","1","0","1",,
"2025-04-16T11:39:28+00:00","6916742812",,,"Reimbursement_Reversal","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","NewItem","EUR","-21.64","-21.64","-1","1","0","6876991802","CustomerReturn"
"2025-04-10T01:24:41+00:00","6899784032",,"404-3288692-2375514","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","NewItem","EUR","20.85","20.85","1","0","1",,
"2025-04-09T23:40:29+00:00","6899505892",,,"Reimbursement_Reversal","MK-78DJ-J0C2","X0020AR9P5","B0D22R7L7D","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","NewItem","EUR","-21.21","-21.21","-1",,"-1","6750177242","CustomerReturn"
"2025-04-08T17:37:38+00:00","6896092472",,"408-3225424-2101112","CustomerReturn","TUBOX4-CRY-SB","X001PQP7KJ","B0BTDS4GYS","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","NewItem","EUR","11.83","11.83","1","0","1",,
"2025-04-01T08:46:14+00:00","6876991802",,"407-3005996-2374745","CustomerReturn","UG-965T-RORR","X0013ZBBK7","B07ZTHSVCK","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","NewItem","EUR","21.64","21.64","1","0","1",,
"2025-03-31T08:24:28+00:00","6874393452",,,"Reimbursement_Reversal","TUBOX3-WHI","X001PQP7JP","B0BTDTVCG2","Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco","NewItem","EUR","-5.44","-5.44","-1","1","0","6625151312","CustomerReturn"
"2025-03-30T06:46:27+00:00","6871448912",,"404-0314148-1292379","CustomerReturn","84-F0A5-X7S1","X001T0EPOZ","B07ZTHSVCK","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","NewItem","EUR","22.30","22.30","1","0","1",,
