"return-date","order-id","sku","asin","fnsku","product-name","quantity","fulfillment-center-id","detailed-disposition","reason","status","license-plate-number","customer-comments"
"2025-03-26T18:31:34+00:00","404-7056182-3227508","MK-78DJ-J0C2","B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","1","WRO1","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNWE291996031","No lo quiero"
"2025-03-26T07:37:12+00:00","302-0426573-6092302","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","1","LCJ4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNHK380011889","Ist undicht. Selbst mit Fettung der Dichtung"
"2025-03-26T02:20:57+00:00","403-0793371-7889107","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","WRO1","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE291233293",
"2025-03-25T23:51:48+00:00","402-7766206-0622751","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","PRESSURISEUR TUBOX4 Crystal avec Pompe MANOMETRE BETO pour Tous Les Bateaux avec 3 OU 4 Tennis ET BALLES DE Padel.","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP038887537","Pas étanche du tout"
"2025-03-25T23:46:29+00:00","402-8442818-1554729","MK-78DJ-J0C2","B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (pompe à air non incluse)","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP038887543","Extrêmement difficile à ouvrir même avec des gant . Perte de pression légère"
"2025-03-25T22:41:35+00:00","405-8502619-4629908","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Drukhouder voor padel- en tennisballen, TUBOX4 Crystal (zonder pomp), compressor voor ballen, onmisbare accessoires","1","MAD4","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNWE291683513",
"2025-03-25T18:15:20+00:00","402-8920475-5447543","IB-IKLG-TV8H","B0183RZ2VI","X000GERVU5","TUBOPLUS- TUBOX3 Naranja 2020 Bote Presurizador de Pelotas de Tenis y Padel - Ahorra Bolas por un Tubo!! - Más Vida para Tus Bolas - Made in Zaragoza-Spain -","1","WRO1","CUSTOMER_DAMAGED","FOUND_BETTER_PRICE","Unit returned to inventory","LPNRP041085809",
"2025-03-25T07:31:43+00:00","171-4766957-2961139","IB-IKLG-TV8H","B0183RZ2VI","X000GERVU5","TuboPlus- TUBOX3 Orange 2020 tennisbal en paddle drukfles - Spaarballen door een buis !! - Meer leven voor je ballen - Gemaakt in Zaragoza-Spanje -","1","PRG2","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNHE921981855",
"2025-03-25T06:20:09+00:00","406-3527600-5193928","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","NOT_AS_DESCRIBED","Unit returned to inventory","LPNIC001513939","El producto no es como yo pensaba"
"2025-03-24T20:31:05+00:00","406-9412944-8521917","TUBOX3-WHI","B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc","1","BTS2","CUSTOMER_DAMAGED","NO_REASON_GIVEN","Unit returned to inventory","LPNRP040910464",
"2025-03-24T19:34:03+00:00","406-9412944-8521917","MD-R60M-OYR1","B0786KK4TG","X002326XGB","TuboPlus - TUBOX3 BLUE 2020 Bouteille de tennis et bouteille de pressuriseur à palette - Économisez des balles par un tube !! - Plus de vie pour vos balles - Fabriqué à Zaragoza - Espagne","1","BTS2","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNHE930304279",
"2025-03-24T17:35:59+00:00","305-1491187-8725954","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","1","LCJ4","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP039057208","Die Röhre ist defekt und hält den Druck nicht."
"2025-03-23T15:11:21+00:00","405-6715653-2468347","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE292870904","No sé en qué momento he pedido esto otra vez, ya que también lo pedí el mes  pasado"
"2025-03-22T20:11:53+00:00","408-5673506-4892321","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TuboPlus - Tubox4 Crystal + Pump med tryckmätare Beto - Tennis och Padel Bollar Tryck","1","BTS2","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNRP038681746","The handle on the pump that seals the pump to the pressure-item broke after 10 days of usage. Can you send me a new pump? I have pictures of the broken pump if you want to see."
"2025-03-21T13:29:41+00:00","405-6479625-7632332","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","1","MXP5","DEFECTIVE","DEFECTIVE","Unit returned to inventory","LPNHE910593626","Perfetto pressione dopo neanche 5 minuti dalla chiusura"
"2025-03-20T11:26:09+00:00","407-9617364-0822748","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNWE255195411",
"2025-03-18T07:25:07+00:00","402-4807231-9264326","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Drukhouder voor padel- en tennisballen, TUBOX4 Crystal (zonder pomp), compressor voor ballen, onmisbare accessoires","1","BTS2","SELLABLE","NO_REASON_GIVEN","Unit returned to inventory","LPNWE298297458",
"2025-03-17T05:44:43+00:00","403-4388691-6728316","MK-78DJ-J0C2","B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (No Incluye Bomba de Aire)","1","MAD4","CUSTOMER_DAMAGED","ORDERED_WRONG_ITEM","Unit returned to inventory","LPNWE278176322",
"2025-03-16T14:10:03+00:00","403-9724732-0145925","TUBOX4-CRY-SB","B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables","1","MAD4","SELLABLE","UNWANTED_ITEM","Unit returned to inventory","LPNWE287232269","He visto reseñas en youtube que no es tan bueno, por lonque no lo he abierto y ya no lo quiero"
"2025-03-15T20:07:30+00:00","402-3776366-2483543","84-F0A5-X7S1","B07ZTHSVCK","X001T0EPOZ","TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel","1","MAD4","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNWE278200535","No tiene calidad"
"2025-03-15T15:48:37+00:00","403-5059678-6522741","UG-965T-RORR","B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","1","MXP3","SELLABLE","UNDELIVERABLE_UNKNOWN","Unit returned to inventory","LPNHE830920140",
"2025-03-15T12:46:08+00:00","406-7202823-7761951","IB-IKLG-TV8H","B0183RZ2VI","X000GERVU5","TuboPlus- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","1","MXP5","SELLABLE","DEFECTIVE","Unit returned to inventory","LPNHE911611799","Troppo troppo troppo duro da svitare."
