fecha,nombre_de_la_cartera,tipo_de_campana,nombre_de_campana,pais,estado,divisa,presupuesto,tipo_de_orientacion,estrategia_de_pujas,impresiones,impresiones_del_ano_pasado,clics,clics_del_ano_pasado,porcentaje_de_clics_ctr,gasto,coste_por_clic_cpc,coste_por_clic_cpc_del_ano_pasado,pedidos_totales_de_7_dias_#,coste_publicitario_de_las_ventas_acos_total,retorno_de_la_inversion_publicitaria_roas_total,ventas_totales_de_7_dias
2025-06-12 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,2057,0,20,0,0.00972,5.1,0.255,0.0,1,0.30853,3.24,16.53
2025-06-12 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,213,0,4,0,0.018779999999999998,0.12,0.03,0.0,0,0.0,0.0,0.0
2025-06-13 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1576,0,19,0,0.01206,4.72,0.2484211,0.0,0,0.0,0.0,0.0
2025-06-13 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,143,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-13 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,445,0,2,0,0.00449,0.06,0.03,0.0,0,0.0,0.0,0.0
2025-06-14 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,137,0,1,0,0.0073,0.03,0.03,0.0,0,0.0,0.0,0.0
2025-06-14 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1211,0,17,0,0.014039999999999999,4.89,0.2876471,0.0,2,0.11164,8.96,43.8
2025-06-14 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,459,0,6,0,0.01307,0.2,0.0333333,0.0,2,0.00605,165.3,33.06
2025-06-15 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,157,0,2,0,0.01274,0.06,0.03,0.0,0,0.0,0.0,0.0
2025-06-15 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1014,0,21,0,0.020710000000000003,5.28,0.2514286,0.0,1,0.15212,6.57,34.71
2025-06-15 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,747,0,7,0,0.00937,0.24,0.0342857,0.0,0,0.0,0.0,0.0
2025-06-16 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,136,0,1,0,0.00735,0.03,0.03,0.0,0,0.0,0.0,0.0
2025-06-16 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1507,0,17,0,0.011279999999999998,4.96,0.2917647,0.0,2,0.0968,10.33,51.24
2025-06-16 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,745,0,7,0,0.009399999999999999,0.27,0.0385714,0.0,0,0.0,0.0,0.0
2025-06-17 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0786KK4TG - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,38,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-17 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1107,0,20,0,0.01807,4.89,0.2445,0.0,5,0.04733,21.13,103.31
2025-06-17 00:00:00+00:00,No Portfolio,Sponsored Products,Campaña con ajustes preestablecidos - B0BTDTVCG2 - 7/11/2024 14:46:29,España,PAUSED,EUR,5.0,Segmentación manual,Pujas dinámicas: solo a la baja,9,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-18 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1420,0,30,0,0.02113,4.97,0.1656666999999999,0.0,2,0.09253,10.81,53.71
2025-06-19 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1969,0,24,0,0.012190000000000001,4.93,0.2054167,0.0,2,0.09621,10.39,51.24
2025-06-20 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,2967,0,34,0,0.01146,5.24,0.1541176,0.0,0,0.0,0.0,0.0
2025-06-21 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1711,0,29,0,0.01695,4.74,0.1634483,0.0,1,0.22943000000000002,4.36,20.66
2025-06-22 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1979,0,27,0,0.013640000000000001,5.24,0.1940741,0.0,2,0.1585,6.31,33.06
2025-06-23 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1162,0,17,0,0.01463,4.63,0.2723529,0.0,0,0.0,0.0,0.0
2025-06-24 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1824,0,27,0,0.0148,4.95,0.1833333,0.0,1,0.23959,4.17,20.66
2025-06-25 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,2041,0,24,0,0.01176,5.39,0.2245833,0.0,1,0.26089,3.83,20.66
2025-06-26 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,1284,0,20,0,0.01558,4.63,0.2314999999999999,0.0,2,0.09036,11.07,51.24
2025-06-27 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,7029,0,86,0,0.01224,20.09,0.2336047,0.0,3,0.37398000000000003,2.67,53.72
2025-06-27 00:00:00+00:00,No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,19,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2025-06-28 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,5272,0,82,0,0.01555,18.29,0.2230488,0.0,4,0.26036000000000004,3.84,70.25
2025-06-28 00:00:00+00:00,No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,155,0,4,0,0.02581,0.53,0.1325,0.0,0,0.0,0.0,0.0
2025-06-29 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,5241,0,82,0,0.01565,18.18,0.2217073,0.0,7,0.12789,7.82,142.15
2025-06-29 00:00:00+00:00,No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,336,0,12,0,0.03571,1.45,0.1208333,0.0,0,0.0,0.0,0.0
2025-06-30 00:00:00+00:00,No Portfolio,Sponsored Products,PSI3_Auto_SP,España,ENABLED,EUR,5.0,Segmentación automática,Pujas dinámicas: al alza y a la baja,46,0,2,0,0.04348,0.16,0.08,0.0,0,0.0,0.0,0.0
2025-06-30 00:00:00+00:00,No Portfolio,Sponsored Products,SP Entire Catalog 13-jan-2025 31f106,España,ENABLED,EUR,20.0,Segmentación automática,ruleBased,9561,0,94,0,0.00983,17.26,0.183617,0.0,8,0.10089000000000001,9.91,171.07
