Fecha,Ventas de productos encargados,Ventas de productos encargados: B2B,Unidades encargadas,Unidades encargadas - B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B,Promedio de ventas por artículo,Promedio de ventas por pedido: B2B,Promedio de unidades por pedido,Promedio de unidades por pedido: B2B,Precio de venta medio,Precio de venta medio - B2B,Visitas de página: aplicación de dispositivo móvil	,Visitas: aplicaciones de dispositivos móviles - B2B,Visitas: navegador,Visitas - Navegador - B2B,Visitas: total,Visitas - Total - B2B,Sesiones: aplicaciones de dispositivos móviles,Sesiones: aplicaciones de dispositivos móviles - B2B,Sesiones: navegador,Sesiones - Navegador - B2B,Sesiones: total,Sesiones - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Porcentaje de productos pedidos por sesión,Porcentaje de artículos de un pedido encargados por sesión: B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Promedio de ofertas,Promedio de productos parent,Unidades reembolsadas,Ratio de reembolsos,Valoraciones recibidas,Valoraciones negativas recibidas,Ratio de valoraciones negativas recibidas,Reclamaciones bajo la Garantía de la A a la Z concedidas,Importe de las reclamaciones,Ventas de productos enviados,Unidades enviadas,Pedidos enviados
13/2/25,"513,94 €","40,00 €",18,2,17,1,"30,23 €","40,00 €",1.06,2.00,"28,55 €","20,00 €",256,3,126,2,382,5,186,3,98,2,284,5,93.77%,100.00%,5.99%,20.00%,6.34%,40.00%,12,10,0,0.00%,0,0,0.00%,0,"0,00 €","225,60 €",11,11
14/2/25,"289,97 €","0,00 €",10,0,10,0,"29,00 €","0,00 €",1.00,0.00,"29,00 €","0,00 €",243,3,99,5,342,8,166,3,74,4,240,7,86.94%,100.00%,4.17%,0.00%,4.17%,0.00%,12,10,1,10.00%,0,0,0.00%,0,"0,00 €","302,43 €",12,12
15/2/25,"252,44 €","0,00 €",9,0,8,0,"31,56 €","0,00 €",1.12,0.00,"28,05 €","0,00 €",268,0,111,2,379,2,192,0,86,2,278,2,80.30%,100.00%,2.88%,0.00%,3.24%,0.00%,12,10,1,11.11%,0,0,0.00%,0,"0,00 €","195,03 €",8,7
16/2/25,"327,97 €","0,00 €",12,0,12,0,"27,33 €","0,00 €",1.00,0.00,"27,33 €","0,00 €",423,7,158,12,581,19,269,5,117,7,386,12,79.14%,55.56%,3.11%,0.00%,3.11%,0.00%,12,10,0,0.00%,1,0,0.00%,0,"0,00 €","299,12 €",13,13
17/2/25,"335,97 €","0,00 €",13,0,12,0,"28,00 €","0,00 €",1.08,0.00,"25,84 €","0,00 €",312,8,154,8,466,16,211,4,113,8,324,12,83.70%,80.00%,3.70%,0.00%,4.01%,0.00%,12,10,2,15.38%,0,0,0.00%,0,"0,00 €","213,21 €",11,10
18/2/25,"475,34 €","0,00 €",15,0,14,0,"33,95 €","0,00 €",1.07,0.00,"31,69 €","0,00 €",285,3,160,5,445,8,191,3,116,3,307,6,88.86%,100.00%,4.56%,0.00%,4.89%,0.00%,12,10,0,0.00%,0,0,0.00%,0,"0,00 €","540,42 €",23,22
19/2/25,"487,30 €","22,00 €",20,1,19,1,"25,65 €","22,00 €",1.05,1.00,"24,36 €","22,00 €",288,3,161,12,449,15,186,2,115,8,301,10,84.07%,77.78%,6.31%,10.00%,6.64%,10.00%,12,10,3,15.00%,0,0,0.00%,0,"0,00 €","205,74 €",8,8
20/2/25,"358,94 €","0,00 €",11,0,11,0,"32,63 €","0,00 €",1.00,0.00,"32,63 €","0,00 €",236,14,98,5,334,19,172,9,72,4,244,13,93.56%,100.00%,4.51%,0.00%,4.51%,0.00%,12,10,1,9.09%,0,0,0.00%,0,"0,00 €","457,76 €",22,22
21/2/25,"497,31 €","20,00 €",18,1,18,1,"27,63 €","20,00 €",1.00,1.00,"27,63 €","20,00 €",348,0,162,3,510,3,226,0,129,2,355,2,87.56%,100.00%,5.07%,50.00%,5.07%,50.00%,11,9,0,0.00%,0,0,0.00%,0,"0,00 €","295,82 €",12,12
22/2/25,"276,31 €","20,00 €",11,1,11,1,"25,12 €","20,00 €",1.00,1.00,"25,12 €","20,00 €",315,8,88,4,403,12,186,4,68,4,254,8,89.22%,83.33%,4.33%,12.50%,4.33%,12.50%,11,9,1,9.09%,0,0,0.00%,0,"0,00 €","196,61 €",9,9
23/2/25,"253,97 €","0,00 €",9,0,9,0,"28,22 €","0,00 €",1.00,0.00,"28,22 €","0,00 €",313,0,127,4,440,4,191,0,101,4,292,4,84.66%,50.00%,3.08%,0.00%,3.08%,0.00%,11,9,0,0.00%,0,0,0.00%,0,"0,00 €","173,55 €",9,9
