"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0CZMGFD3S","X001ZWRDZP","TUBOPLUS 29PSI X3e (pompe à air incluse)","ETZ2","FR","24.5","9.0","8.9","centimeters","0.39","kilograms","0.002","cubic meters","Standard-Size","0.14","0.0","3.0E-4","2025-02","3.7","weeks","27.54","0.0","0.04","1.0E-4","0.0077","0.0","EUR","0.0077","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (pompe à air non incluse)","ETZ2","FR","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","6.89","0.0","0.0113","2025-02","3.7","weeks","27.54","0.0","3.11","0.006","0.3123","0.0","EUR","0.3123","Others","N","N","0.0","--","1.04"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc","ORY1","FR","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.21","0.0","3.0E-4","2025-02","3.7","weeks","27.54","0.0","0.0","0.0","0.0092","0.0","EUR","0.0092","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29PSI X3e (pompe à air non incluse)","ORY1","FR","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","0.21","0.0","3.0E-4","2025-02","3.7","weeks","27.54","0.0","0.0","0.0","0.0108","0.0","EUR","0.0108","Others","N","N","0.0","--","0.04"
"B0183RZ2VI","X000GERVU5","TuboPlus- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","MXP5","IT","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","2.29","0.0","0.0037","2025-02","3.7","weeks","27.54","0.0","0.61","0.001","0.1013","0.0","EUR","0.1013","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.54","0.21","7.0E-4","2025-02","3.7","weeks","27.54","0.0","0.32","7.0E-4","0.0191","0.0","EUR","0.0191","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","1.14","0.43","0.0016","2025-02","3.7","weeks","27.54","0.0","0.71","0.0016","0.0425","0.0","EUR","0.0425","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.04","0.0","1.0E-4","2025-02","3.7","weeks","27.54","0.0","0.04","1.0E-4","0.0021","0.0","EUR","0.0021","Others","N","N","0.0","--","0.0"
"B09266N893","X001D1A0DZ","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","MXP5","IT","22.8","8.4","8.3","centimeters","0.53","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-02","3.7","weeks","27.54","0.0","0.54","9.0E-4","0.0435","0.0","EUR","0.0435","Others","N","N","0.0","--","0.0"
"B0BTDTN52N","X001PQRHT3","TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa","MXP5","IT","20.0","8.5","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-02","3.7","weeks","27.54","0.0","0.25","4.0E-4","0.0391","0.0","EUR","0.0391","Others","N","N","0.0","--","0.0"
