"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'HAM2'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","2.0","0.0","0.0048","2025-05","9.1","weeks","27.54","0.0","0.97","0.0023","0.1319","0.0","EUR","0.1319","Others","N","N","0.0","--","0.0"
"B0BTDSDQC5","X001PQPPUB","TUBOPLUS Tubox3 (ohne Pumpe) – Druckverstärker für Paddel- und Tennisbälle | 3-Ball-Beutel | Paddelzubehör","'HAM2'","DE","24.0","8.4","8.3","centimeters","0.37","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2025-05","9.1","weeks","27.54","0.0","1.0","0.0017","0.0459","0.0","EUR","0.0459","Others","N","N","0.0","--","0.0"
"B0BTDTN52N","X001PQRHT3","TUBOPLUS TuboX3 Tennis- und Padel-Drucker, Farbe Rosa","'HAM2'","DE","20.0","8.5","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-05","9.1","weeks","27.54","0.0","1.0","0.0014","0.0392","0.0","EUR","0.0392","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold","'HAM2'","DE","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-05","9.1","weeks","27.54","0.0","0.68","9.0E-4","0.0383","0.0","EUR","0.0383","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","'HAM2'","DE","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","2.0","0.0","0.0028","2025-05","9.1","weeks","27.54","0.0","1.32","0.0018","0.0763","0.0","EUR","0.0763","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","'LCJ4'","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","0.16","0.0","3.0E-4","2025-05","9.1","weeks","27.54","0.0","0.16","3.0E-4","0.0066","0.0","EUR","0.0066","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'LCJ4'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.26","0.0","6.0E-4","2025-05","9.1","weeks","27.54","0.0","0.26","6.0E-4","0.0157","0.0","EUR","0.0157","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'LCJ4'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.16","0.0","4.0E-4","2025-05","9.1","weeks","27.54","0.0","0.16","4.0E-4","0.0098","0.0","EUR","0.0098","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'LCJ4'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.13","0.0","3.0E-4","2025-05","9.1","weeks","27.54","0.0","0.13","3.0E-4","0.0079","0.0","EUR","0.0079","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'LEJ5'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","6.06","0.0","0.0146","2025-05","9.1","weeks","27.54","0.0","2.68","0.0064","0.4","0.0","EUR","0.4","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'MUC3'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","3.0","0.0","0.0072","2025-05","9.1","weeks","27.54","0.0","0.97","0.0023","0.2","0.0","EUR","0.2","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TUBOPLUS Behälter Steht unter Druck (BLAU) Tennis/Padel","'PRG2'","DE","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-05","9.1","weeks","27.54","0.0","0.68","0.0011","0.04","0.0","EUR","0.04","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'STR1'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.74","0.0","0.0018","2025-05","9.1","weeks","27.54","0.0","0.74","0.0018","0.05","0.0","EUR","0.05","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","'WRO1'","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.58","0.0","0.0013","2025-05","9.1","weeks","27.54","0.0","0.58","0.0013","0.0334","0.0","EUR","0.0334","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas","'WRO1'","DE","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.19","0.0","4.0E-4","2025-05","9.1","weeks","27.54","0.0","0.0","0.0","0.0111","0.0","EUR","0.0111","Others","N","N","0.0","--","0.0"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","'WRO1'","DE","31.4","8.8","8.7","centimeters","0.43","kilograms","0.0024","cubic meters","Standard-Size","0.35","0.0","9.0E-4","2025-05","9.1","weeks","27.54","0.0","0.35","9.0E-4","0.0226","0.0","EUR","0.0226","Others","N","N","0.0","--","0.0"
"B0D87X42RN","X00231GYQL","TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold","'WRO1'","DE","19.8","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","0.16","0.0","2.0E-4","2025-05","9.1","weeks","27.54","0.0","0.0","0.0","0.006","0.0","EUR","0.006","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","'WRO1'","DE","19.7","8.4","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-05","9.1","weeks","27.54","0.0","0.39","5.0E-4","0.0368","0.0","EUR","0.0368","Others","N","N","0.0","--","0.0"
