"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_utilization_ratio","storage_utilization_ratio_units","base_rate","utilization_surcharge_rate","avg_qty_for_sus","est_vol_for_sus","est_base_msf","est_sus","currency","estimated_monthly_storage_fee","category","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0BTDS4GYS","X001PQP7KJ","TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör","WRO1","DE","31.2","8.4","8.4","centimeters","0.45","kilograms","0.0022","cubic meters","Standard-Size","0.19","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.0123","0.0","EUR","0.0123","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","WRO1","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","0.23","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.03","1.0E-4","0.0126","0.0","EUR","0.0126","Others","N","N","0.0","--","0.0"
"B0786KK4TG","X002326XGB","TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas","WRO1","DE","19.9","8.5","8.4","centimeters","0.31","kilograms","0.0014","cubic meters","Standard-Size","0.65","0.0","9.0E-4","2025-03","5.0","weeks","27.54","0.0","0.65","9.0E-4","0.0264","0.0","EUR","0.0264","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (ohne Luftpumpe)","WRO2","DE","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","0.61","0.0","0.0012","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.03","0.0","EUR","0.03","Others","N","N","0.0","--","0.0"
"B0BTDTVCG2","X001PQP7JP","TUBOPLUS TuboX3 Pressurisateur de balles de tennis et padel Blanc","ORY1","FR","20.2","8.3","8.1","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.04","0.0","EUR","0.04","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP3","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.16","0.0","4.0E-4","2025-03","5.0","weeks","27.54","0.0","0.13","3.0E-4","0.01","0.0","EUR","0.01","Others","N","N","0.0","--","0.0"
"B0183RZ2VI","X000GERVU5","TuboPlus- TUBOX3 ORANGE 2020 Pallina da tennis e paddle Bottle Pressurizer Bottle - Salva le palle per un tubo !! - Più vita per le tue palle - Made in Zaragoza -Spain -","MXP5","IT","20.0","9.0","9.0","centimeters","0.32","kilograms","0.0016","cubic meters","Standard-Size","4.55","0.0","0.0074","2025-03","5.0","weeks","27.54","0.0","1.45","0.0024","0.2031","0.0","EUR","0.2031","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.45","0.23","5.0E-4","2025-03","5.0","weeks","27.54","0.0","0.23","5.0E-4","0.0135","0.0","EUR","0.0135","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","0.94","0.23","0.0015","2025-03","5.0","weeks","27.54","0.0","0.71","0.0015","0.0425","0.0","EUR","0.0425","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X0013ZBBK7","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.8","8.6","8.2","centimeters","0.6","kilograms","0.0022","cubic meters","Standard-Size","1.39","0.0","0.003","2025-03","5.0","weeks","27.54","0.0","0.58","0.0013","0.083","0.0","EUR","0.083","Others","N","N","0.0","--","0.0"
"B09266N893","X001D1A0DZ","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","MXP5","IT","22.8","8.4","8.3","centimeters","0.53","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-03","5.0","weeks","27.54","0.0","0.29","5.0E-4","0.0438","0.0","EUR","0.0438","Others","N","N","0.0","--","0.0"
"B0BTDTN52N","X001PQRHT3","TUBOPLUS TuboX3 Color Pressurizzatore per palline da tennis e paddle | colore rosa","MXP5","IT","20.0","8.5","8.4","centimeters","0.3","kilograms","0.0014","cubic meters","Standard-Size","1.0","0.0","0.0014","2025-03","5.0","weeks","27.54","0.0","1.0","0.0014","0.0394","0.0","EUR","0.0394","Others","N","N","0.0","--","0.0"
"B07ZTHSVCK","X001T0EPOZ","PRESSURIZZATORE TUBOX4 Crystal con Pompa con MANOMETRO BETO per Tutte Le Barche con 3 O 4 Palline da Tennis E Padel.","MXP5","IT","30.9","8.4","8.4","centimeters","0.81","kilograms","0.0022","cubic meters","Standard-Size","1.0","0.0","0.0022","2025-03","5.0","weeks","27.54","0.0","0.0","0.0","0.0601","0.0","EUR","0.0601","Others","N","N","0.0","--","0.0"
"B09266N893","X001WPKTQF","TUBOPLUS TuboX3 - Pompa Crystal con Manometro Beto, Pressurizzatore per Palline Da Tennis e Paddle","MXP5","IT","22.8","8.4","8.3","centimeters","0.53","kilograms","0.0016","cubic meters","Standard-Size","1.0","0.0","0.0016","2025-03","5.0","weeks","27.54","0.0","1.0","0.0016","0.0438","0.0","EUR","0.0438","Others","N","N","0.0","--","0.0"
"B0D22R7L7D","X0020AR9P5","TUBOPLUS 29 PSI X3e (non include la pompa dell'aria)","MXP5","IT","25.2","8.8","8.7","centimeters","0.25","kilograms","0.0019","cubic meters","Standard-Size","1.0","0.0","0.0019","2025-03","5.0","weeks","27.54","0.0","0.58","0.0011","0.0532","0.0","EUR","0.0532","Others","N","N","0.0","--","0.0"
