asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,category,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders,storage_utilization_ratio_num,storage_utilization_ratio_cat,volume_units_adapt,breakdown_incentive_fee_amount_clean,item_volume_m3,estimated_total_item_volume_m3,est_vol_for_sus_m3,base_rate_per_m3,utilization_surcharge_rate_per_m3,volume_units_standardized
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,MUC3,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,3.0,0.0,0.0066,2025-01-01,3.8,weeks,27.54,0.0,0.0,0.0,0.18,0.0,EUR,0.18,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0066,0.0,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,PRG2,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,0.26,0.0,0.0006,2025-01-01,3.8,weeks,27.54,0.0,0.03,0.0001,0.014,0.0,EUR,0.014,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0006,0.0001,27.54,0.0,cubic meters
B07ZTHSVCK,X001T0EPOZ,"TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas",PRG2,DE,30.9,8.4,8.4,centimeters,0.81,kilograms,0.0022,cubic meters,Standard-Size,0.48,0.0,0.0011,2025-01-01,3.8,weeks,27.54,0.0,0.48,0.0011,0.026,0.0,EUR,0.026,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0011,0.0011,27.54,0.0,cubic meters
B07ZTHSVCK,X0013ZBBK7,"TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas",STR1,DE,30.8,8.6,8.2,centimeters,0.6,kilograms,0.0022,cubic meters,Standard-Size,0.48,0.32,0.0004,2025-01-01,3.8,weeks,27.54,0.0,0.16,0.0004,0.0087,0.0,EUR,0.0087,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0004,0.0004,27.54,0.0,cubic meters
B07ZTHSVCK,X0013ZBBK7,"TUBOPLUS POLICARBONATO UG-965T-RORR Tubox4 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 4 Pelotas",STR1,DE,30.8,8.6,8.2,centimeters,0.6,kilograms,0.0022,cubic meters,Standard-Size,0.16,0.06,0.0002,2025-01-01,3.8,weeks,27.54,0.0,0.1,0.0002,0.0052,0.0,EUR,0.0052,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0002,0.0002,27.54,0.0,cubic meters
B09266N893,X001D1A0DZ,"TUBOPLUS POLICARBONATO 35-DQ86-IJB4 Tubox3 Crystal + Pumpe mit Manometer Beto-Tennis-und Paddelbälle, Transparent, 3 Pelotas",STR1,DE,22.8,8.4,8.3,centimeters,0.53,kilograms,0.0016,cubic meters,Standard-Size,0.39,0.32,0.0001,2025-01-01,3.8,weeks,27.54,0.0,0.06,0.0001,0.0025,0.0,EUR,0.0025,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0016,0.0,0.0016,0.0001,0.0001,27.54,0.0,cubic meters
B0D87X42RN,X00231GYQL,TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold,STR1,DE,19.8,8.4,8.4,centimeters,0.3,kilograms,0.0014,cubic meters,Standard-Size,0.26,0.03,0.0003,2025-01-01,3.8,weeks,27.54,0.0,0.23,0.0003,0.0078,0.0,EUR,0.0078,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0003,0.0003,27.54,0.0,cubic meters
B0786KK4TG,X002326XGB,"TUBOPLUS ABS C1-O2UC-HPCJ TuboPlus-Tubox3-Tennis und Paddle Ball Druckregler-Blau, 3 Pelotas",STR1,DE,19.9,8.5,8.4,centimeters,0.31,kilograms,0.0014,cubic meters,Standard-Size,0.23,0.06,0.0002,2025-01-01,3.8,weeks,27.54,0.0,0.16,0.0002,0.0057,0.0,EUR,0.0057,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0014,0.0,0.0014,0.0002,0.0002,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,WRO1,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,0.84,0.0,0.0018,2025-01-01,3.8,weeks,27.54,0.0,0.0,0.0,0.05,0.0,EUR,0.05,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0018,0.0,27.54,0.0,cubic meters
B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,WRO2,DE,31.2,8.4,8.4,centimeters,0.45,kilograms,0.0022,cubic meters,Standard-Size,0.77,0.0,0.0017,2025-01-01,3.8,weeks,27.54,0.0,0.0,0.0,0.0478,0.0,EUR,0.0478,Others,False,False,0.0,--,0.0,3.8,Menos de 6 meses,0.0022,0.0,0.0022,0.0017,0.0,27.54,0.0,cubic meters
