fecha,ventas_de_productos_encargados,ventas_de_productos_encargados_b2b,unidades_encargadas,unidades_encargadas_b2b,total_de_articulos_de_un_pedido,total_de_articulos_de_un_pedido_b2b,promedio_de_ventas_por_articulo,promedio_de_ventas_por_pedido_b2b,promedio_de_unidades_por_pedido,promedio_de_unidades_por_pedido_b2b,precio_de_venta_medio,precio_de_venta_medio_b2b,visitas_de_pagina_aplicacion_de_dispositivo_movil,visitas_aplicaciones_de_dispositivos_moviles_b2b,visitas_navegador,visitas_navegador_b2b,visitas_total,visitas_total_b2b,sesiones_aplicaciones_de_dispositivos_moviles,sesiones_aplicaciones_de_dispositivos_moviles_b2b,sesiones_navegador,sesiones_navegador_b2b,sesiones_total,sesiones_total_b2b,porcentaje_de_ofertas_destacadas_buy_box,porcentaje_de_ofertas_destacadas_b2b,porcentaje_de_productos_pedidos_por_sesion,porcentaje_de_articulos_de_un_pedido_encargados_por_sesion_b2b,porcentaje_de_unidades_por_sesion,porcentaje_de_sesiones_de_unidades_b2b,promedio_de_ofertas,promedio_de_productos_parent,unidades_reembolsadas,ratio_de_reembolsos,valoraciones_recibidas,valoraciones_negativas_recibidas,ratio_de_valoraciones_negativas_recibidas,reclamaciones_bajo_la_garantia_de_la_a_a_la_z_concedidas,importe_de_las_reclamaciones,ventas_de_productos_enviados,unidades_enviadas,pedidos_enviados
2025-02-03,357.98,0.0,13,0,13,0,27.54,0.0,10,0,27.54,0.0,331,3,127,15,458,18,224,3,98,8,322,11,0.9519,0.5,0.0404,0.0,0.0404,0.0,10,10,0,0.0,0,0,0.0,0,0.0,327.27,13,13
2025-02-04,364.46,22.0,12,1,12,1,30.37,22.0,10,10,30.37,22.0,384,5,141,6,525,11,248,4,118,6,366,10,0.9595,0.75,0.032799999999999996,0.1,0.032799999999999996,0.1,10,10,2,0.16670000000000001,0,0,0.0,0,0.0,339.58,13,13
2025-02-05,705.45,0.0,24,0,24,0,29.39,0.0,10,0,29.39,0.0,353,2,148,1,501,3,245,2,121,1,366,3,0.9556,1.0,0.06559999999999999,0.0,0.06559999999999999,0.0,10,10,2,0.0833,0,0,0.0,0,0.0,454.54,21,21
2025-02-06,443.98,0.0,15,0,15,0,29.6,0.0,10,0,29.6,0.0,281,4,134,9,415,13,204,3,106,8,310,11,0.9634999999999999,1.0,0.0484,0.0,0.0484,0.0,10,10,1,0.0667,0,0,0.0,0,0.0,449.51,17,17
2025-02-07,443.52,0.0,17,0,16,0,27.72,0.0,106,0,26.09,0.0,241,3,107,1,348,4,160,2,83,1,243,3,0.9764,1.0,0.0658,0.0,0.07,0.0,10,10,0,0.0,0,0,0.0,0,0.0,292.49,14,13
2025-02-08,264.99,0.0,10,0,10,0,26.5,0.0,10,0,26.5,0.0,245,1,96,2,341,3,176,1,77,2,253,3,0.9862000000000001,1.0,0.0395,0.0,0.0395,0.0,10,10,1,0.1,0,0,0.0,0,0.0,268.58,12,12
2025-02-09,425.98,32.99,15,1,15,1,28.4,32.99,10,10,28.4,32.99,349,3,95,0,444,3,234,1,78,0,312,1,0.9756,1.0,0.0481,1.0,0.0481,1.0,10,10,0,0.0,0,0,0.0,0,0.0,266.92,11,11
2025-02-10,452.0,0.0,16,0,16,0,28.25,0.0,10,0,28.25,0.0,304,1,88,4,392,5,201,1,80,4,281,5,0.9569,1.0,0.056900000000000006,0.0,0.056900000000000006,0.0,9,9,1,0.0625,0,0,0.0,0,0.0,348.62,14,14
2025-02-11,337.46,22.0,13,1,12,1,28.12,22.0,108,10,25.96,22.0,230,2,101,8,331,10,161,1,81,6,242,7,0.8305,1.0,0.0496,0.1429,0.0537,0.1429,8,8,1,0.07690000000000001,0,0,0.0,0,0.0,370.24,15,15
2025-02-12,156.0,0.0,6,0,6,0,26.0,0.0,10,0,26.0,0.0,286,6,110,7,396,13,197,4,86,4,283,8,0.8314,1.0,0.0212,0.0,0.0212,0.0,12,10,0,0.0,0,0,0.0,0,0.0,195.03,9,9
