return_date,order_id,sku,asin,fnsku,product_name,quantity,fulfillment_center_id,detailed_disposition,reason,status,license_plate_number,customer_comments,return_day,return_month,return_year,return_weekday,return_hour_block,is_weekend
2025-07-18 19:23:29+00:00,408-1338767-0820369,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,BCN1,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNWE255457219,Sin comentarios,18,7,2025,Friday,Noche (18-24h),False
2025-07-17 19:33:53+00:00,404-4821919-3513168,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNWE324858712,No trae bomba específica y no nos vale.,17,7,2025,Thursday,Noche (18-24h),False
2025-07-17 11:51:04+00:00,402-3632602-3809101,4R-VSV0-WZ9Z,B0D87X42RN,X00231GYQL,Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Doré,1,BTS2,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRP046996324,"Impossible de l’ouvrir, sauf en le cassant ! Vous me devez 3 balles !",17,7,2025,Thursday,Mañana (6-12h),False
2025-07-15 23:45:16+00:00,305-0117022-0501905,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,1,BTS2,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNHE978271938,Sin comentarios,15,7,2025,Tuesday,Noche (18-24h),False
2025-07-15 04:58:07+00:00,404-9743795-1439508,29PSIX3_SB,B0F1F4FM85,X0029D0DRJ,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),1,MAD4,CUSTOMER_DAMAGED,UNWANTED_ITEM,Unit returned to inventory,LPNWE315187160,Sin comentarios,15,7,2025,Tuesday,Madrugada (0-6h),False
2025-07-14 18:51:49+00:00,407-9602386-8245133,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNWE316523102,Sin comentarios,14,7,2025,Monday,Tarde (12-18h),False
2025-07-14 16:53:58+00:00,304-9159389-1059510,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,1,BTS2,SELLABLE,MISSED_ESTIMATED_DELIVERY,Unit returned to inventory,LPNHE965278646,Sin comentarios,14,7,2025,Monday,Tarde (12-18h),False
2025-07-14 11:42:29+00:00,402-8416379-6905107,TUBOX3-WHI,B0BTDTVCG2,X001PQP7JP,Tubo Plus X3 - Pressurisateur de Balles de Padel et de Tennis | Boîte Hermétique pour Maintenir la Pression et Récupérer Le Rebond | Capacité: 3 Balles | Pompe Non Incluse - Blanc,1,ORY1,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNIC128854686,Sin comentarios,14,7,2025,Monday,Mañana (6-12h),False
2025-07-14 05:32:03+00:00,171-7366696-9707526,UG-965T-RORR,B07ZTHSVCK,X0013ZBBK7,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,1,MAD4,DEFECTIVE,DEFECTIVE,Unit returned to inventory,LPNRP051193405,No hace la función deseada!,14,7,2025,Monday,Madrugada (0-6h),False
2025-07-13 20:03:35+00:00,406-9424905-6451550,MD-R60M-OYR1,B0786KK4TG,X002326XGB,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,1,MAD4,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNWE324324784,Sin comentarios,13,7,2025,Sunday,Noche (18-24h),True
2025-07-11 12:15:32+00:00,406-0847574-1898700,TUBOX3-WHI,B0BTDTVCG2,X001PQP7JP,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,1,MAD4,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNWE320997932,Sin comentarios,11,7,2025,Friday,Mañana (6-12h),False
2025-07-11 12:02:54+00:00,405-1612549-8476333,MD-R60M-OYR1,B0786KK4TG,X002326XGB,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Azul,1,MAD4,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNWE321126058,DOESTNW WOKR,11,7,2025,Friday,Mañana (6-12h),False
2025-07-08 18:16:25+00:00,405-3686405-2298751,4R-VSV0-WZ9Z,B0D87X42RN,X00231GYQL,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,1,MAD4,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNIC105670661,Sin comentarios,8,7,2025,Tuesday,Tarde (12-18h),False
2025-07-08 14:15:28+00:00,028-4059073-6576338,4R-VSV0-WZ9Z,B0D87X42RN,X00231GYQL,TUBOPLUS TuboX3 Color Presurizer für Tennis- und Padelbälle | Farbe Gold,1,WRO1,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNHK351077550,Sin comentarios,8,7,2025,Tuesday,Tarde (12-18h),False
2025-07-07 16:23:42+00:00,407-9787537-6918751,29PSIX3_SB,B0F1F4FM85,X0029D0DRJ,TUBOPLUS 29PSI X3e - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Requiere Bomba de Aire (No Incluida),1,MAD4,SELLABLE,UNDELIVERABLE_REFUSED,Unit returned to inventory,LPNWE321284423,Sin comentarios,7,7,2025,Monday,Tarde (12-18h),False
2025-07-06 16:14:55+00:00,408-6569252-4181142,29PSIX3_CB_2,B0F1F2PQPK,X0029D24LR,TUBOPLUS 29PSI X3e con Bomba - Presurizador de Pelotas de Pádel y Tenis | Capacidad para 3 Pelotas | Bote Hermético | Incluye Inflador con Manómetro,1,MAD4,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNWE318535747,Sin comentarios,6,7,2025,Sunday,Tarde (12-18h),True
2025-07-04 01:27:24+00:00,306-4368033-2657127,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Druckbehälter für Padel- und Tennisbälle | TUBOX4 Crystal (ohne Pumpe) | Kompressor für Bälle | unverzichtbares Zubehör,1,BTS2,CUSTOMER_DAMAGED,NO_REASON_GIVEN,Unit returned to inventory,LPNRP046438230,Sin comentarios,4,7,2025,Friday,Madrugada (0-6h),False
2025-07-03 13:51:06+00:00,403-7909013-7076331,4R-VSV0-WZ9Z,B0D87X42RN,X00231GYQL,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,1,MAD4,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNRP047131406,Sin comentarios,3,7,2025,Thursday,Tarde (12-18h),False
2025-07-01 15:30:50+00:00,402-1776802-4337907,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNWE315187236,Es el tercero dque recibo. Anular la continuidad de la compra por favor,1,7,2025,Tuesday,Tarde (12-18h),False
2025-06-29 14:58:59+00:00,407-9703800-6333126,TUBOX3-WHI,B0BTDTVCG2,X001PQP7JP,Tubo Plus X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Blanco,1,MAD4,CUSTOMER_DAMAGED,NO_REASON_GIVEN,Unit returned to inventory,LPNRP047287076,Sin comentarios,29,6,2025,Sunday,Tarde (12-18h),True
2025-06-28 01:11:05+00:00,171-1553826-7513131,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,WRO1,SELLABLE,ORDERED_WRONG_ITEM,Unit returned to inventory,LPNWE314193706,Sin comentarios,28,6,2025,Saturday,Madrugada (0-6h),True
2025-06-26 11:52:38+00:00,407-9707424-9001956,TUBOX3-WHI,B0BTDTVCG2,X001PQP7JP,TUBOPLUS TuboX3 Color Pressurizzatore di palline da tennis e paddle | Colore bianco,1,ORY1,SELLABLE,UNDELIVERABLE_UNKNOWN,Unit returned to inventory,LPNIC128528788,Sin comentarios,26,6,2025,Thursday,Mañana (6-12h),False
2025-06-20 18:52:09+00:00,403-7711347-8482749,4R-VSV0-WZ9Z,B0D87X42RN,X00231GYQL,TUBOPLUS X3 - Presurizador de Pelotas de Pádel y Tenis | Bote Hermético para Mantener la Presión y Recuperar el Rebote | Capacidad para 3 Pelotas | No Incluye Inflador de Aire - Color Dorado,1,MAD4,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNRP047181401,Sin comentarios,20,6,2025,Friday,Tarde (12-18h),False
2025-06-20 12:18:46+00:00,404-3126002-7284367,UG-965T-RORR,B07ZTHSVCK,X0013ZBBK7,TUBOPLUS - TuboX4 Crystal + Bomba con Manómetro - Presurizador de Pelotas de Tenis y Padel,1,BTS2,SELLABLE,NO_REASON_GIVEN,Unit returned to inventory,LPNHE955128992,Sin comentarios,20,6,2025,Friday,Mañana (6-12h),False
2025-06-19 11:51:35+00:00,408-1388329-1001930,TUBOX4-CRY-SB,B0BTDS4GYS,X001PQP7KJ,TUBOPLUS - Bote presurizador para Pelotas de pádel y Tenis | TUBOX4 Crystal (SIN Bomba) | Compresor para Pelotas | Accesorios indispensables,1,MAD4,CUSTOMER_DAMAGED,DEFECTIVE,Unit returned to inventory,LPNWE321525804,Sin comentarios,19,6,2025,Thursday,Mañana (6-12h),False
